Tytuł,Cena,Sklep,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:,Dysk HDD:
"Laptop LENOVO IdeaPad Slim 5 16ABR8 16"" IPS R7-7730U 16GB RAM 512GB SSD Windows 11 Home","2 989
00
zł",ediaexpert,AMD Ryzen 7 7730U,"16GB, DDR4",512GB PCIe NVMe 4.0 x4,AMD Radeon Graphics,"16"", 1920 x 1200px, Matryca IPS, LED, 60Hz",Windows 11 Home,
"Laptop ACER Nitro V ANV15-51 15.6"" IPS 144Hz i5-13420H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3","3 699
00
zł",ediaexpert,Intel Core i5-13420H,"16GB, DDR5",512GB PCIe NVMe,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Brak,
"Laptop LENOVO LOQ 15IAX9 15.6"" IPS 144Hz i5-12450HX 24GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home","3 399
00
zł",ediaexpert,Intel Core i5-12450HX,"24GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop ACER TravelMate P2 TMP216-51-G2-TCO 16"" Core 5 120U 16GB RAM 512 GB SSD Windows 11 Professional","3 399
00
zł",ediaexpert,Intel Core 5 120U,"16GB, DDR5",512GB PCIe NVMe 4.0,Intel UHD Graphics,"16"", 1920 x 1200px, Matryca IPS, LED, 60Hz",Windows 11 Professional,
"Laptop LENOVO Yoga 7 2-in-1 14IML9 14"" OLED Ultra 7-155H 16GB RAM 512GB SSD Windows 11 Home + Rysik i etui w zestawie","4 899
00
zł",ediaexpert,Intel Core Ultra 7-155H,"16GB, LPDDR5X, 7467MHz",512GB PCIe NVMe 4.0 x4,Intel Arc Graphics,"14"", 1920 x 1200px, 60Hz, Ekran dotykowy",Windows 11 Home,
"Laptop PREDATOR Helios Neo PHN16-71 16"" IPS 165Hz i9-13900HX 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","6 999
99
zł",ediaexpert,Intel Core i9-13900HX,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, LED, 165Hz",Windows 11 Home,
"Laptop LENOVO ThinkBook 16 G6 IRL 21KH00TCPB 16"" IPS i5-13420H 16GB RAM 512GB SSD Windows 11 Professional","3 799
00
zł",ediaexpert,Intel Core i5-13420H,"16GB, DDR5, 5200MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"16"", 1920 x 1200px, Matryca IPS, 60Hz",Windows 11 Professional,
"Laptop APPLE MacBook Air 13.6"" Retina M2 8GB RAM 256GB SSD macOS Północ","3 949
00
zł",ediaexpert,Apple M2,8GB,256GB,Apple M2 (8 rdzeni),"13.6"", 2560 x 1664px, Matryca Liquid Retina,Matryca IPS, LED",macOS Monterey,
"Laptop LENOVO LOQ 15ARP9 15.6"" IPS 144Hz R7-7435HS 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","5 099
98
zł",ediaexpert,AMD Ryzen 7 7435HS,"16GB, DDR5, 4800MHz",1000GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 4050,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop LENOVO Yoga Slim 6 14IRH8 14"" OLED i5-13500H 16GB RAM 512GB SSD Windows 11 Home","3 499
00
zł",ediaexpert,Intel Core i5-13500H,"16GB, LPDDR5X, 5200MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"14"", 1920 x 1200px, 60Hz",Windows 11 Home,
"Laptop ASUS TUF Gaming A15 FA507NV-TT903W 15.6"" IPS 144Hz R7-7735HS 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","5 399
99
zł",ediaexpert,AMD Ryzen 7 7735HS,"16GB, DDR5, 4800MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + AMD Radeon 680M,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
,,ediaexpert,Intel Core i5-1335U,"16GB, DDR4",512GB PCIe NVMe 4.0,Intel UHD Graphics,"14"", 1920 x 1200px, Matryca IPS, LED, 60Hz",Windows 11 Professional,
"Laptop ACER Swift Go 14 SFG14-63-R19Q 14"" OLED R5-8645HS 16GB RAM 512GB SSD Windows 11 Home","3 112
56
zł",ediaexpert,AMD Ryzen 5 8645HS,"16GB, LPDDR5X",512GB PCIe NVMe,AMD Radeon 760M,"14"", 2880 x 1800px",Windows 11 Home,
"Laptop LENOVO ThinkBook 16 G7 IML 16"" IPS Ultra 5-125U 16GB RAM 512GB SSD Windows 11 Professional","4 019
86
zł",ediaexpert,Intel Core Ultra 5-125U,"16GB, DDR5, 5600MHz",512GB PCIe NVMe 4.0 x4,Intel Graphics,"16"", 1920 x 1200px, Matryca IPS, 60Hz",Windows 11 Professional,
"Laptop HP Pavilion 15-EH3333NW 15.6"" IPS R5-7530U 16GB RAM 1TB SSD Windows 11 Home","2 399
00
zł",ediaexpert,AMD Ryzen 5 7530U,"16GB, DDR4, 3200MHz",1000GB PCIe NVMe,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS",Windows 11 Home,
"Laptop LENOVO Yoga Slim 7 15ILL9 Aura Edition 15.3"" IPS Ultra 7 258V 32GB RAM 512GB SSD Windows 11 Home","6 398
99
zł",ediaexpert,Intel Core Ultra 7-258V,"32GB, LPDDR5X, 8533MHz",512GB PCIe NVMe 4.0 x4,Intel Arc Graphics 140V,"15.3"", 2880 x 1800px, Matryca IPS, 120Hz, Ekran dotykowy",Windows 11 Home,
