Tytuł,Cena,Sklep,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:
"Laptop ACER Nitro 5 AN515-58 15.6"" IPS 144Hz i5-12450H 16GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home","3 389
98
zł",ediaexpert,Intel Core i5-12450H,"16GB, DDR4",512GB PCIe NVMe,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Windows 11 Home
"Laptop LENOVO Yoga Book 9 13IRU8 13.3"" OLED i7-1355U 16GB RAM 1TB SSD Windows 11 Home","11 704
82
zł",ediaexpert,Intel Core i7-1355U,"16GB, LPDDR5X, 6400MHz",1000GB PCIe NVMe 4.0 x4,Intel Iris Xe Graphics,"13.3"", 2880 x 1800px, 60Hz, Ekran dotykowy",Windows 11 Home
"Laptop ACER Nitro V 15 ANV15-41 15.6"" IPS 144Hz R5-7535HS 16GB RAM 512GB SSD GeForce RTX2050 Windows 11 Home","3 006
92
zł",ediaexpert,AMD Ryzen 5 7535HS,"16GB, DDR5",512GB PCIe NVMe,NVIDIA GeForce RTX 2050 + AMD Radeon 660M,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
"Laptop LENOVO IdeaPad Slim 3 Chrome 14M868 14"" MT520 8GB RAM 128GB eMMC Chrome OS","999
00
zł",ediaexpert,MediaTek Kompanio 520,"8GB, LPDDR4X, 3600MHz",128GB eMMC,ARM Mali-G52 2EE MC2,"14"", 1920 x 1080px, Matryca TN",Chrome OS
"Laptop HP 15S-FQ5113NW 15.6"" i3-1215U 8GB RAM 256GB SSD Windows 11 Home","1 599
99
zł",ediaexpert,Intel Core i3-1215U,"8GB, DDR4, 3200MHz",256GB PCIe NVMe,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Home
"Laptop LENOVO LOQ 15ARP9 15.6"" IPS 144Hz R7-7435HS 24GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","4 299
99
zł",ediaexpert,AMD Ryzen 7 7435HS,"24GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 4050,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
"Laptop ASUS VivoBook X1500EA-BQ3413 15.6"" IPS i5-1135G7 8GB RAM 512GB SSD","1 479
00
zł",ediaexpert,Intel Core i5-1135G7,"8GB, DDR4",512GB PCIe NVMe 3.0 x4,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Brak
"Laptop MSI Cyborg A12VE-057PL 15.6"" IPS 144Hz i5-12450H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","3 599
99
zł",ediaexpert,Intel Core i5-12450H,"16GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
"Laptop HUAWEI MateBook 14 53014APN 14.2"" OLED Ultra 5-125H 16GB RAM 512GB SSD Windows 11 Home","3 999
00
zł",ediaexpert,Intel Core Ultra 5-125H,"16GB, LPDDR5",512GB PCIe NVMe,Intel Arc Graphics,"14.2"", 2880 x 1920px, 120Hz, Ekran dotykowy",Windows 11 Home
"Laptop DELL Inspiron 3520-9874 15.6"" IPS i5-1235U 16GB RAM 1TB SSD Windows 11 Home","2 199
00
zł",ediaexpert,Intel Core i5-1235U,"16GB, DDR4, 2666MHz",1000GB PCIe NVMe,Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 120Hz",Windows 11 Home
"Laptop HP Victus 15-fa1151nw 15.6"" IPS 144Hz i5-13420H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","3 999
00
zł",ediaexpert,Intel Core i5-13420H,"16GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
"Laptop LENOVO IdeaPad Slim 3 16IAH8 16"" IPS i5-12450H 16GB RAM 512GB SSD Windows 11 Home","2 699
00
zł",ediaexpert,Intel Core i5-12450H,"16GB, LPDDR5, 4800MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"16"", 1920 x 1200px, Matryca IPS, 60Hz",Windows 11 Home
"Laptop LENOVO IdeaPad 3 17IAU7 17.3"" IPS i3-1215U 8GB RAM 512GB SSD Windows 11 Home","1 999
98
zł",ediaexpert,Intel Core i3-1215U,"8GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"17.3"", 1920 x 1080px, Matryca IPS, 60Hz",Windows 11 Home
"Laptop DELL G15 5530-5499 15.6"" 165Hz i9-13900HX 32GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","7 499
00
zł",ediaexpert,Intel Core i9-13900HX,"32GB, DDR5, 4800MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca WVA, 165Hz",Windows 11 Home
"Laptop LENOVO Yoga Slim 7 14Q8X9 14.5"" OLED Snapdragon X Elite 16GB RAM 512GB SSD Windows 11 Home","4 899
00
zł",ediaexpert,Qualcomm Snapdragon X Elite X1E-78-100,"16GB, LPDDR5X, 8448MHz",512GB PCIe NVMe 4.0,Qualcomm Adreno,"14.5"", 2944 x 1840px, 90Hz, Ekran dotykowy",Windows 11 Home
"Laptop HP Victus 15-FA0999NW 15.6"" IPS 144Hz i5-12450H 16GB RAM 512GB SSD Geforce RTX3050 Windows 11 Home","2 999
00
zł",ediaexpert,Intel Core i5-12450H,"16GB, DDR4, 3200MHz",512GB PCIe NVMe,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
"Laptop MICROSOFT Surface Pro Copilot+ PC 13"" Snapdragon X Plus 16GB RAM 256GB SSD Windows 11 Home","4 794
84
zł",ediaexpert,Qualcomm Snapdragon X Plus,"16GB, LPDDR5X",256GB PCIe NVMe,Qualcomm Adreno,"13"", 2880 x 1920px, Matryca PixelSense Flow, 120Hz, Ekran dotykowy",Windows 11 Home
"Laptop ACER Nitro 5 AN517-55 17.3"" IPS 144Hz i5-12450H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","4 799
00
zł",ediaexpert,Intel Core i5-12450H,"16GB, DDR5",1000GB PCIe NVMe,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"17.3"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Windows 11 Home
"Laptop ACER Swift Go 14 SFG14-63-R9V6 14"" OLED R7-8845HS 32GB RAM 1TB SSD Windows 11 Home","4 299
98
zł",ediaexpert,AMD Ryzen 7 8845HS,"32GB, LPDDR5X",1000GB PCIe NVMe,AMD Radeon 780M,"14"", 2880 x 1800px",Windows 11 Home
"Laptop MICROSOFT Surface Pro Copilot+ PC 13"" Snapdragon X Plus 16GB RAM 512GB SSD Windows 11 Home","5 251
52
zł",ediaexpert,Qualcomm Snapdragon X Plus,"16GB, LPDDR5X",512GB PCIe NVMe,Qualcomm Adreno,"13"", 2880 x 1920px, Matryca PixelSense Flow, 120Hz, Ekran dotykowy",Windows 11 Home
"Laptop ASUS VivoBook X1500EA-BQ3416 15.6"" IPS i5-1135G7 8GB RAM 512GB SSD","1 999
98
zł",ediaexpert,Intel Core i5-1135G7,"8GB, DDR4",512GB PCIe NVMe 3.0,Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Brak
