Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop LENOVO IdeaPad Slim 5 16ABR8 16"" IPS R7-7730U 16GB RAM 512GB SSD Windows 11 Home",2989.0,MediaExpert,AMD Ryzen 7 7730U,16,512,AMD Radeon Graphics,16,Windows 11 Home,,AMD
"Laptop ACER Nitro V ANV15-51 15.6"" IPS 144Hz i5-13420H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",3699.0,MediaExpert,Intel Core i5-13420H,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop LENOVO LOQ 15IAX9 15.6"" IPS 144Hz i5-12450HX 24GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home",3399.0,MediaExpert,Intel Core i5-12450HX,24,512,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop ACER TravelMate P2 TMP216-51-G2-TCO 16"" Core 5 120U 16GB RAM 512 GB SSD Windows 11 Professional",3399.0,MediaExpert,Intel Core 5 120U,16,512,Intel UHD Graphics,16,Windows 11 Professional,,Intel
"Laptop LENOVO Yoga 7 2-in-1 14IML9 14"" OLED Ultra 7-155H 16GB RAM 512GB SSD Windows 11 Home + Rysik i etui w zestawie",4899.0,MediaExpert,Intel Core Ultra 7-155H,16,512,Intel Arc Graphics,14,Windows 11 Home,,Intel
"Laptop PREDATOR Helios Neo PHN16-71 16"" IPS 165Hz i9-13900HX 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",6999.99,MediaExpert,Intel Core i9-13900HX,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop LENOVO ThinkBook 16 G6 IRL 21KH00TCPB 16"" IPS i5-13420H 16GB RAM 512GB SSD Windows 11 Professional",3799.0,MediaExpert,Intel Core i5-13420H,16,512,Intel UHD Graphics,16,Windows 11 Professional,,Intel
"Laptop APPLE MacBook Air 13.6"" Retina M2 8GB RAM 256GB SSD macOS Północ",3949.0,MediaExpert,Apple M2,8,256,Apple M2 (8 rdzeni),13.6,macOS Monterey,,Apple
"Laptop LENOVO LOQ 15ARP9 15.6"" IPS 144Hz R7-7435HS 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",5099.98,MediaExpert,AMD Ryzen 7 7435HS,16,1000,NVIDIA GeForce RTX 4050,15.6,Windows 11 Home,,AMD
"Laptop LENOVO Yoga Slim 6 14IRH8 14"" OLED i5-13500H 16GB RAM 512GB SSD Windows 11 Home",3499.0,MediaExpert,Intel Core i5-13500H,16,512,Intel UHD Graphics,14,Windows 11 Home,,Intel
"Laptop ASUS TUF Gaming A15 FA507NV-TT903W 15.6"" IPS 144Hz R7-7735HS 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",5399.99,MediaExpert,AMD Ryzen 7 7735HS,16,1000,NVIDIA GeForce RTX 4060 + AMD Radeon 680M,15.6,Windows 11 Home,,AMD
"Laptop ACER Swift Go 14 SFG14-63-R19Q 14"" OLED R5-8645HS 16GB RAM 512GB SSD Windows 11 Home",3112.56,MediaExpert,AMD Ryzen 5 8645HS,16,512,AMD Radeon 760M,14,Windows 11 Home,,AMD
"Laptop LENOVO ThinkBook 16 G7 IML 16"" IPS Ultra 5-125U 16GB RAM 512GB SSD Windows 11 Professional",4019.86,MediaExpert,Intel Core Ultra 5-125U,16,512,Intel Graphics,16,Windows 11 Professional,,Intel
"Laptop HP Pavilion 15-EH3333NW 15.6"" IPS R5-7530U 16GB RAM 1TB SSD Windows 11 Home",2399.0,MediaExpert,AMD Ryzen 5 7530U,16,1000,AMD Radeon Graphics,15.6,Windows 11 Home,,AMD
"Laptop LENOVO Yoga Slim 7 15ILL9 Aura Edition 15.3"" IPS Ultra 7 258V 32GB RAM 512GB SSD Windows 11 Home",6398.99,MediaExpert,Intel Core Ultra 7-258V,32,512,Intel Arc Graphics 140V,15.3,Windows 11 Home,,Intel
