Tytuł,Cena,Link,Ekran:,Procesor:,Pamięć:,Grafika:,Dysk:,System operacyjny:
"Laptop ASUS VivoBook 15 A1504ZA-BQ739W 15,6"" i5-1235U 16GB RAM 512GB Dysk SSD Win11 Niebieski",2 199,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-a1504-i5-16gb-512gb-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,16 GB DDR4 RAM,Intel® Iris Xe Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro V 15 ANV15-51 15,6"" 144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX2050 Win11 Czarny",2 899,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-5-i5-16gb-512gb-2050-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,16 GB DDR5 RAM,NVIDIA® GeForce RTX™ 2050 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop Lenovo IdeaPad Slim 5 16IAH8 16"" i5-12450H 16GB RAM 512GB Dysk SSD Win11 Szary",2 699,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-ips-5-i5-16gb-512gb-w11.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 12gen 12450H,16 GB LPDDR5 4800 Mhz RAM,Intel® UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop HP Pavilion 16-ag0019nw 16"" R7 8840U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2 999,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-pavilion-ag19-16-r7-16-512gb-w11.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 8840U,16 GB DDR5 6400 Mhz RAM,AMD Radeon™ 780M,512 GB SSD,Windows 11 Home Edition
"Laptop Acer Aspire 3 14 A314-23P-R20G 14"" R3 7320U 8GB RAM 512GB Dysk SSD Win11 Srebrny",1 299,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-aspire-3-r3-8gb-512gb.bhtml,"14 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 3 7320U,8 GB LPDDR5 RAM,AMD Radeon™ 610 Graphics,512 GB SSD,Windows 11 Home Edition
"Apple MacBook Air 2024 13,6"" M3 16GB RAM 512GB Dysk macOS Gwiezdna Szarość",6 199,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mba-13-6-16gb-512gb-grey.bhtml,"13,6 "", 2560 x 1664 pikseli",Apple M3,16 GB zunifikowana RAM,Apple M3 (10-rdzeni),512 GB SSD,macOS Sonoma lub nowszy
"Laptop gamingowy Acer Nitro V 15 ANV15-51-58EH 15,6"" 144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny",3 999,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-v-i5-16gb-512gb-4050-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,16 GB DDR5 RAM,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop ASUS Vivobook 15 D1502YA-BQ316W 15,6"" R7 7730U 16GB RAM 512GB Dysk SSD Win11 Niebieski",2 499,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-d1502-r7-16gb-512gb-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 7 7730U,16 GB DDR4 RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 24GB RAM 512GB Dysk SSD RTX4050 Win11 Szary",3 999,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-loq-i5-24gb-512gb-4050-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,24 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro V 15 ANV15-51-52X2 15,6"" 144Hz i5-13420H 16GB RAM 1TB Dysk SSD RTX3050 Win11 Czarny",3 599,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-v-5-i5-16gb-1tb-3050-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,16 GB DDR5 RAM,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop HP 15s-eq2202nw 15,6"" R5 5500U 16GB RAM 512GB Dysk SSD Win11 Srebrny",1 799,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-hp15s-r5-5500-16gb-512ssd-w11.bhtml,"15,6 "", 1920 x 1080 pikseli",AMD Ryzen™ 5 5500U,16 GB DDR4 3200 MHz RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
Laptop ultrabook ASUS Zenbook 14 OLED UX3405MA-PP175W 14'' 120Hz Ultra 5 125H 16GB RAM 1TB Dysk SSD Win11 Niebieski,4 799,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-ux3405-14-i5-14gen-16gb-1tb-w11.bhtml,"14 "", 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 5 14gen 125H,16 GB LPDDR5X RAM,Intel® Arc™ Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo Legion 5 15ARH7 15,6"" 165Hz R5 6600H 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3 379,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-legion-5-r5-16gb-512gb-3050-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 165 Hz",AMD Ryzen™ 5 6600H,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 3050 + AMD Radeon™ 660M,512 GB SSD,Windows 11 Home Edition
"Laptop 2w1 Lenovo Yoga 7 14IML9 OLED 14"" Ultra 5 125H 16GB RAM 512GB Dysk SSD Win11 + Rysik + Etui Szary",4 699,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-yoga-14-i5-16gb-512-gb-w11.bhtml,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125H,16 GB LPDDR5x 7467 Mhz RAM,Intel® Arc Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo IdeaPad Gaming 3 15ACH6 15,6"" 144Hz R5 5500H 16GB RAM 512GB Dysk SSD RTX2050 Win11 Czarny",2 699,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-ip3-r5-16gb-512gb-2050-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 5500H,16 GB DDR4 3200 MHz RAM,NVIDIA® GeForce RTX™ 2050 + AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop ASUS Vivobook 15 X1504ZA-BQ568W 15,6"" i3-1215U 16GB RAM 512GB Dysk SSD Win11 Niebieski",1 899,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-x1504-i3-16gb-512gb-w11_1.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i3 12gen 1215U,16 GB DDR4 RAM,Intel® UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy HP Victus 15-fb1111nw 15,6"" 144Hz R5 7535HS 16GB RAM 512GB Dysk SSD RTX2050 Win11 Czarno-srebrny",2 599,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-victus-r5-7-16gb-512gb-rtx205-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 7535HS,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 2050 + AMD Radeon™ 660M,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3 399,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-loq-i5-16gb-512gb-3050-w11_1.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
