Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
ASUS Vivobook 15 R5‑7530U/16GB/512/Win11,2199.0,xkom,AMD Ryzen™ 5 7530U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
Lenovo IdeaPad Slim 3‑15 i5‑12450H/16GB/512/Win11,2399.0,xkom,Intel® Core™ i5-12450H,16,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Acer Chromebook 315 N4500/8GB/128/FHD ChromeOS,1299.0,xkom,Intel® Celeron N4500,8,Intel UHD Graphics,"Matowy, LED, IPS",128,128,128,Chrome OS,Intel
ASUS Vivobook 15 i5‑1235U/16GB/512/Win11,2299.0,xkom,Intel® Core™ i5-1235U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP 250 G9 i5‑1235U/16GB/512/Win11,1999.0,xkom,Intel® Core™ i5-1235U,16,Intel UHD,"Matowy, LED, VA",512,512,512,Windows 11 Home,Intel
Lenovo IdeaPad Slim 3‑15 i5‑12450H/16GB/1TB/Win11,2499.0,xkom,Intel® Core™ i5-12450H,16,Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Apple MacBook Air M1/8GB/256/Mac OS Space Gray,3399.0,xkom,Apple M1,8,Apple M1 [7 rdzeni],"Błyszczący, LED, IPS, Retina",256,256,256,macOS Sonoma,Apple
Lenovo IdeaPad Gaming 3‑15 R5‑7535HS/16GB/512+1TB/Win11 RTX3050,2949.0,xkom,AMD Ryzen™ 5 7535HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Gigabyte AORUS 15 BKF i7‑13620H/16GB/1TB RTX4060 165Hz,4444.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,Intel
Dell Inspiron 3525 Ryzen 5 5500U/16GB/512/Win11 120Hz,2099.0,xkom,AMD Ryzen™ 5 5500U,16,AMD Radeon™ Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Home,AMD
Acer Nitro V R5‑7535HS/16GB/512 RTX3050 144Hz,2999.0,xkom,AMD Ryzen™ 5 7535HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED",,,0,Brak,AMD
Lenovo Yoga Slim 6‑14 i5‑13500H/16GB/512/Win11,3399.0,xkom,Intel® Core™ i5-13500H,16,Intel Iris Xe Graphics,"Błyszczący, OLED",512,512,512,Windows 11 Home,Intel
Acer Extensa i5‑1235U/16GB/512/Win11 Szary,1999.0,xkom,Intel® Core™ i5-1235U,16,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP Pavilion 15 i5‑1335U/16GB/512/Win11,2899.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
