Tytuł,Cena,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:
"Laptop LENOVO LOQ 15IAX9 15.6"" IPS 144Hz i5-12450HX 24GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home","3 699
00
zł",Intel Core i5-12450HX,"24GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
"Laptop APPLE MacBook Pro 2024 14"" Retina M4 16GB RAM 512GB SSD macOS Gwiezdna czerń","8 499
99
zł",Apple M4,16GB,512GB,Apple M4 (10 rdzeni),"14.2"", 3024 x 1964px, Matryca Liquid Retina XDR, 120Hz",macOS Sequoia
"Laptop LENOVO IdeaPad Slim 5 16ABR8 16"" IPS R7-7730U 16GB RAM 512GB SSD Windows 11 Home","2 989
00
zł",AMD Ryzen 7 7730U,"16GB, DDR4",512GB PCIe NVMe 4.0 x4,AMD Radeon Graphics,"16"", 1920 x 1200px, Matryca IPS, LED, 60Hz",Windows 11 Home
"Laptop ACER Nitro V ANV15-51 15.6"" IPS 144Hz i5-13420H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3","3 699
00
zł",Intel Core i5-13420H,"16GB, DDR5",512GB PCIe NVMe,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Brak
"Laptop LENOVO LOQ 15ARP9 15.6"" IPS 144Hz R7-7435HS 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","4 879
00
zł",AMD Ryzen 7 7435HS,"16GB, DDR5, 4800MHz",1000GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 4050,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
"Laptop ASUS ExpertBook B1502CVA-BQ0095X 15.6"" i5-1335U 16GB RAM 512GB SSD Windows 11 Professional","2 799
00
zł",Intel Core i5-1335U,"16GB, DDR4",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"15.6"", 1920 x 1080px, LED, 60Hz",Windows 11 Professional
"Laptop PREDATOR Helios Neo PHN16-71 16"" IPS 165Hz i9-13900HX 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","6 999
99
zł",Intel Core i9-13900HX,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, LED, 165Hz",Windows 11 Home
"Laptop APPLE MacBook Air 13.6"" Retina M2 8GB RAM 256GB SSD macOS Północ","4 199
00
zł",Apple M2,8GB,256GB,Apple M2 (8 rdzeni),"13.6"", 2560 x 1664px, Matryca Liquid Retina,Matryca IPS, LED",macOS Monterey
"Laptop ACER Swift Go 14 SFG14-63-R19Q 14"" OLED R5-8645HS 16GB RAM 512GB SSD Windows 11 Home","3 499
00
zł",AMD Ryzen 5 8645HS,"16GB, LPDDR5X",512GB PCIe NVMe,AMD Radeon 760M,"14"", 2880 x 1800px",Windows 11 Home
"Laptop LENOVO Yoga 7 2-in-1 14IML9 14"" OLED Ultra 7-155H 16GB RAM 512GB SSD Windows 11 Home + Rysik i etui w zestawie","4 999
98
zł",Intel Core Ultra 7-155H,"16GB, LPDDR5X, 7467MHz",512GB PCIe NVMe 4.0 x4,Intel Arc Graphics,"14"", 1920 x 1200px, 60Hz",Windows 11 Home
"Laptop ACER Nitro AN16-41-R7U0 16"" IPS 165Hz R7-7735HS 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home","6 699
00
zł",AMD Ryzen 7 7735HS,"16GB, DDR5",1000GB PCIe NVMe,NVIDIA GeForce RTX 4070 + AMD Radeon 680M,"16"", 2560 x 1600px, Matryca IPS, LED, 165Hz",Windows 11 Home
"Laptop LENOVO Yoga Slim 6 14IRH8 14"" OLED i5-13500H 16GB RAM 512GB SSD Windows 11 Home","3 499
00
zł",Intel Core i5-13500H,"16GB, LPDDR5X, 5200MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"14"", 1920 x 1200px, 60Hz",Windows 11 Home
"Laptop ASUS TUF Gaming A15 FA507NV-TT903W 15.6"" IPS 144Hz R7-7735HS 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","4 999
00
zł",AMD Ryzen 7 7735HS,"16GB, DDR5, 4800MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + AMD Radeon 680M,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home
