Tytuł,Cena,Ekran:,Procesor,RAM,Grafika:,Dysk SSD,System operacyjny,Firma procesora
"Laptop ASUS VivoBook 15 A1504ZA-BQ739W 15,6"" i5-1235U 16GB RAM 512GB Dysk SSD Win11 Niebieski",2199,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,16,Intel® Iris Xe Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Acer Nitro V 15 ANV15-51 15,6"" 144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX2050 Win11 Czarny",2899,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,16,NVIDIA® GeForce RTX™ 2050 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop Lenovo IdeaPad Slim 5 16IAH8 16"" i5-12450H 16GB RAM 512GB Dysk SSD Win11 Szary",2699,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 12gen 12450H,16,Intel® UHD Graphics,512,Windows 11 Home,Intel
"Laptop HP Pavilion 16-ag0019nw 16"" R7 8840U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2999,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 8840U,16,AMD Radeon™ 780M,512,Windows 11 Home,AMD
"Laptop Acer Aspire 3 14 A314-23P-R20G 14"" R3 7320U 8GB RAM 512GB Dysk SSD Win11 Srebrny",1299,"14 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 3 7320U,8,AMD Radeon™ 610 Graphics,512,Windows 11 Home,AMD
"Apple MacBook Air 2024 13,6"" M3 16GB RAM 512GB Dysk macOS Gwiezdna Szarość",6199,"13,6 "", 2560 x 1664 pikseli",Apple M3,16,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop gamingowy Acer Nitro V 15 ANV15-51-58EH 15,6"" 144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny",3999,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,16,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop ASUS Vivobook 15 D1502YA-BQ316W 15,6"" R7 7730U 16GB RAM 512GB Dysk SSD Win11 Niebieski",2499,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 7 7730U,16,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 24GB RAM 512GB Dysk SSD RTX4050 Win11 Szary",3999,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,24,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Acer Nitro V 15 ANV15-51-52X2 15,6"" 144Hz i5-13420H 16GB RAM 1TB Dysk SSD RTX3050 Win11 Czarny",3599,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,16,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop HP 15s-eq2202nw 15,6"" R5 5500U 16GB RAM 512GB Dysk SSD Win11 Srebrny",1799,"15,6 "", 1920 x 1080 pikseli",AMD Ryzen™ 5 5500U,16,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
Laptop ultrabook ASUS Zenbook 14 OLED UX3405MA-PP175W 14'' 120Hz Ultra 5 125H 16GB RAM 1TB Dysk SSD Win11 Niebieski,4799,"14 "", 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 5 14gen 125H,16,Intel® Arc™ Graphics,1024,Windows 11 Home,Intel
"Laptop gamingowy Lenovo Legion 5 15ARH7 15,6"" 165Hz R5 6600H 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3379,"15,6 "", 1920 x 1080 pikseli 165 Hz",AMD Ryzen™ 5 6600H,16,NVIDIA® GeForce RTX™ 3050 + AMD Radeon™ 660M,512,Windows 11 Home,AMD
"Laptop 2w1 Lenovo Yoga 7 14IML9 OLED 14"" Ultra 5 125H 16GB RAM 512GB Dysk SSD Win11 + Rysik + Etui Szary",4699,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125H,16,Intel® Arc Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Lenovo IdeaPad Gaming 3 15ACH6 15,6"" 144Hz R5 5500H 16GB RAM 512GB Dysk SSD RTX2050 Win11 Czarny",2699,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 5500H,16,NVIDIA® GeForce RTX™ 2050 + AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop ASUS Vivobook 15 X1504ZA-BQ568W 15,6"" i3-1215U 16GB RAM 512GB Dysk SSD Win11 Niebieski",1899,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i3 12gen 1215U,16,Intel® UHD Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy HP Victus 15-fb1111nw 15,6"" 144Hz R5 7535HS 16GB RAM 512GB Dysk SSD RTX2050 Win11 Czarno-srebrny",2599,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 7535HS,16,NVIDIA® GeForce RTX™ 2050 + AMD Radeon™ 660M,512,Windows 11 Home,AMD
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3399,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,16,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Lenovo Legion 5 16IRX9 16"" 165Hz i7-13650HX 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Szary",5849,"16 "", 2560 x 1600 pikseli 165 Hz",Intel® Core™ i7 13gen 13650HX,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Apple MacBook Air M1 13,3"" M1 8GB RAM 256GB Dysk macOS Gwiezdna Szarość",3399,"13,3 "", 2560 x 1600 pikseli",Apple M1,8,Apple M1 (7-rdzeni),256,macOS Sonoma,Apple
"Laptop gamingowy Acer Nitro 5 AN515-58-720R 15,6"" 144Hz i7-12650H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny",4599,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 12gen 12650H,16,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy ASUS TUF Gaming A15 2023 FA507NV-LP023W 15,6'' 144Hz R7 7735HS 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Szary",4799,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7735HS,16,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ Graphics 680M,512,Windows 11 Home,AMD
"Laptop gamingowy Lenovo Legion Slim 5 14APH8 OLED 14,5"" 120Hz R7 7840HS 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Szary",4799,"14,5 "", 2880 x 1800 pikseli 120 Hz",AMD Ryzen™ 7 7840HS,16,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 780M,512,Windows 11 Home,AMD
"Laptop gamingowy Acer Nitro 16 AN16-42-R0YM 16"" 165Hz R7 8845HS 32GB RAM 1TB Dysk SSD RTX4070 DLSS3 Czarny",6999,"16 "", 2560 x 1600 pikseli 165 Hz",AMD Ryzen™ 7 8845HS,32,NVIDIA® GeForce RTX™ 4070 + AMD Radeon™ 780M,1024,Brak,AMD
"Laptop gamingowy ASUS ROG Zephyrus Duo 16 2023 GX650PZ-NM015W 16"" 240Hz R9 7945HX 32GB RAM 2TB Dysk SSD RTX4080 DLSS3 Win11 Czarny",14999,"16 "", 2560 x 1600 pikseli 240 Hz",AMD Ryzen™ 9 7945HX,32,NVIDIA® GeForce RTX™ 4080 + AMD Radeon™ 610M Graphics,2048,Windows 11 Home,AMD
"Apple MacBook Air 2024 15,3"" M3 8GB RAM 256GB Dysk macOS Północ",5399,"15,3"", 2880 x 1864 pikseli",Apple M3,8,Apple M3 (10-rdzeni),256,macOS Sonoma,Apple
"Laptop 2w1 Dell Inspiron 3535-0696 15,6"" R5 7530U 8GB RAM 512GB Dysk SSD Win11 Srebrny",2149,"15,6 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 5 7530U,8,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop ASUS Vivobook 15 M1502YA-BQ048W 15,6"" R5 7530U 16GB RAM 512GB Dysk SSD Win11 Niebieski",2199,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7530U,16,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop gamingowy Gigabyte G5 MF 2024 MF5-H2EE353KD 15,6"" 144Hz i7-13620H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Szary",3499,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 13gen 13620H,16,NVIDIA® GeForce RTX 4050 + Intel Iris Xe Graphics,512,Brak,Intel
"Apple MacBook Air 2024 13,6"" M3 8GB RAM 512GB Dysk macOS Gwiezdna Szarość",5299,"13,6 "", 2560 x 1664 pikseli",Apple M3,8,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop 2w1 Acer Aspire Spin 14 ASP14-51MTN-75S5 14"" Core 7 150U 16GB RAM 1TB Dysk SSD Win11 Szary",3499,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Intel® Core™ 7 150U,16,Intel® Graphics,1024,Windows 11 Home,Intel
