Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
ASUS Vivobook 15 R5‑7530U/16GB/512/Win11,"2 199,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo IdeaPad Slim 3‑15 i5‑12450H/16GB/512/Win11,"2 399,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Acer Chromebook 315 N4500/8GB/128/FHD ChromeOS,"1 299,00 zł",xkom,Intel® Celeron N4500,8 GB,Intel UHD Graphics,"Matowy, LED, IPS",
ASUS Vivobook 15 i5‑1235U/16GB/512/Win11,"2 299,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP 250 G9 i5‑1235U/16GB/512/Win11,"1 999,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, VA",
Lenovo IdeaPad Slim 3‑15 i5‑12450H/16GB/1TB/Win11,"2 499,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Apple MacBook Air M1/8GB/256/Mac OS Space Gray,"3 399,00 zł",xkom,Apple M1,8 GB,Apple M1 [7 rdzeni],"Błyszczący, LED, IPS, Retina",
Lenovo IdeaPad Gaming 3‑15 R5‑7535HS/16GB/512+1TB/Win11 RTX3050,"2 949,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Gigabyte AORUS 15 BKF i7‑13620H/16GB/1TB RTX4060 165Hz,"4 444,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Dell Inspiron 3525 Ryzen 5 5500U/16GB/512/Win11 120Hz,"2 099,00 zł",xkom,AMD Ryzen™ 5 5500U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Acer Nitro V R5‑7535HS/16GB/512 RTX3050 144Hz,"2 999,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Lenovo Yoga Slim 6‑14 i5‑13500H/16GB/512/Win11,"3 399,00 zł",xkom,Intel® Core™ i5-13500H,16 GB,Intel Iris Xe Graphics,"Błyszczący, OLED",
Acer Extensa i5‑1235U/16GB/512/Win11 Szary,"1 999,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, IPS",
HP Pavilion 15 i5‑1335U/16GB/512/Win11,"2 899,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Vostro 3520 i5‑1235U/16GB/512/Win11P,"2 599,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, WVA",
ASUS TUF Gaming A15 R7‑7435HS/16GB/512 RTX3050 144Hz,"2 999,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS ZenBook 14 UM3402YA R5‑7430U/16GB/512/Win11,"3 299,00 zł",xkom,AMD Ryzen™ 5 7430U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo V15 i5‑13420H/16GB/512/Win11P,"2 749,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,Intel UHD Graphics,"Matowy, LED",
Lenovo V15 i5‑1235U/16GB/1TB/Win11,"2 199,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED",
MSI Modern 14 i5‑1235U/16GB/512/Win11,"1 949,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Lenovo Legion 5‑16 i7‑13650HX/32GB/512+1TB/Win11 RTX4060 165Hz,"6 199,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo IdeaPad Slim 3‑15 Ryzen 5‑7530U/16GB/512/Win11,"2 199,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Gigabyte AORUS 7 9KF i5‑12500H/16GB/512 RTX4060 360Hz,"4 699,00 zł",xkom,Intel® Core™ i5-12500H,16 GB,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,,512 GB SSD M.2 PCIe
Lenovo IdeaPad Gaming 3‑15 Ryzen 5‑5500H/16GB/512 RTX2050 144Hz,"2 599,00 zł",xkom,AMD Ryzen™ 5 5500H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
MSI Thin 15 i5‑12450H/16GB/512 RTX2050 144Hz,"2 399,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
ASUS ZenBook 14 UX3405MA Ultra 5‑125H/16GB/1TB/Win11 OLED 120Hz,"4 599,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
Lenovo Yoga 7 2‑in‑1 Ultra 5‑125H/16GB/1TB/Win11,"4 699,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
Acer Aspire 3 R7‑5700U/16GB/512/Win11,"2 399,00 zł",xkom,AMD Ryzen™ 7 5700U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo IdeaPad Gaming 3‑15 R5‑7535HS/32GB/512+1TB/Win11 RTX3050,"3 749,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
