Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,2022 Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
2,India,44682784,530740.0,44150289.0,1755.0,915265788.0,1406631776.0,1417173173,1834500657.0,984838143.0,828229455.0,1765216398.0,1829085487.0,131.66,70.68,59.44,2996.970319634703
3,France,39524311,164233.0,39264546.0,95532.0,271490188.0,65584518.0,64626628,141666197.0,53993210.0,52438706.0,141665604.0,141586302.0,210.12,80.08,77.78,4605.289473684211
4,Germany,37779833,165711.0,37398100.0,216022.0,122332384.0,83883596.0,83369843,171940027.0,63664250.0,63142649.0,171915651.0,171903993.0,204.93,75.88,75.26,4483.3829321663015
5,Brazil,36824580,697074.0,35919372.0,208134.0,63776166.0,215353593.0,215313498,413559595.0,181078067.0,160272858.0,409720779.0,411378534.0,193.26,84.62,74.9,4409.162844036698
6,Japan,32588442,68399.0,21567425.0,10952618.0,92144639.0,125584838.0,123951692,254345587.0,102467506.0,100633737.0,179475445.0,251739703.0,201.78,81.29,79.84,4931.18024691358
8,Italy,25453789,186833.0,25014986.0,251970.0,265478247.0,60262770.0,59037474,135870869.0,50723408.0,47817555.0,135863520.0,135755490.0,225.07,84.02,79.21,4920.831509846827
10,Russia,21958696,395108.0,21356008.0,207580.0,273400000.0,145805947.0,144713314,163601171.0,79954746.0,72841232.0,145843660.0,163251520.0,112.12,54.8,49.92,2385.6012793176974
11,Turkey,17042722,101492.0,,,162743369.0,85561976.0,85341241,146881913.0,57776278.0,52968985.0,144526459.0,147484328.0,172.72,67.94,62.29,3941.4295454545454
12,Spain,13731478,118434.0,13557699.0,55345.0,471036328.0,46719142.0,47558630,93807121.0,41134037.0,40118474.0,63202201.0,93768856.0,200.68,88.0,85.82,4528.119638826185
13,Vietnam,11526508,43186.0,10612479.0,870843.0,85826548.0,98953541.0,98186856,203144374.0,79947189.0,77754108.0,124338690.0,201816053.0,206.93,81.44,79.2,5410.0
14,Australia,11295446,18615.0,11235771.0,41060.0,78835048.0,26068792.0,26177413,56242913.0,22202366.0,21200432.0,55798854.0,56071891.0,218.1,86.1,82.21,5422.2418952618455
15,Argentina,10037135,130421.0,9877032.0,29682.0,35716069.0,46010234.0,45510318,96504666.0,40907186.0,36924451.0,96484179.0,96396690.0,211.61,89.7,80.96,4645.465934065934
16,Taiwan,9569611,16356.0,9129766.0,423489.0,30207485.0,23888595.0,23893394,49481298.0,19449353.0,18254357.0,38468171.0,49343587.0,207.43,81.53,76.52,5545.517426273458
17,Netherlands,8582500,22989.0,8547771.0,11740.0,25984435.0,17211447.0,17564014,34038677.0,13455761.0,12366525.0,0.0,34007500.0,198.21,78.35,72.01,4562.829493087557
18,Iran,7564350,144749.0,7337549.0,82052.0,54420785.0,86022837.0,88550570,146792557.0,63872818.0,56810058.0,19055290.0,146357015.0,172.64,75.12,66.81,4157.630434782609
