Date_reported,Country,New_deaths,New_cases,daily_vaccinations,Year,Month,Day,Day_of_Week
2020-12-13,United States,3188.0,245839.0,0.0,2020,12,13,6
2020-12-14,United States,2440.0,217153.0,4579.0,2020,12,14,0
2020-12-15,United States,2037.0,181275.0,27175.0,2020,12,15,1
2020-12-16,United States,1955.0,198204.0,71420.0,2020,12,16,2
2020-12-17,United States,2758.0,198650.0,121718.0,2020,12,17,3
2020-12-18,United States,3389.0,240266.0,180653.0,2020,12,18,4
2020-12-19,United States,3338.0,246505.0,180858.0,2020,12,19,5
2020-12-20,United States,2949.0,235875.0,170068.0,2020,12,20,6
2020-12-21,United States,2727.0,202289.0,223983.0,2020,12,21,0
2020-12-22,United States,2090.0,186429.0,280828.0,2020,12,22,1
2020-12-23,United States,2129.0,183553.0,340139.0,2020,12,23,2
2020-12-24,United States,2891.0,197759.0,329193.0,2020,12,24,3
2020-12-25,United States,3238.0,226200.0,271518.0,2020,12,25,4
2020-12-26,United States,3021.0,202550.0,265812.0,2020,12,26,5
2020-12-27,United States,2237.0,161342.0,264585.0,2020,12,27,6
2020-12-27,Germany,5728.0,138828.0,0.0,2020,12,27,6
2020-12-28,Germany,0.0,0.0,18101.0,2020,12,28,0
2020-12-28,United States,1650.0,147119.0,294466.0,2020,12,28,0
2020-12-29,United States,1903.0,154342.0,333663.0,2020,12,29,1
2020-12-29,Germany,0.0,0.0,34403.0,2020,12,29,1
2020-12-30,Germany,0.0,0.0,44336.0,2020,12,30,2
2020-12-30,United States,2180.0,176774.0,372000.0,2020,12,30,2
2020-12-31,United States,3351.0,208904.0,404095.0,2020,12,31,3
2020-12-31,Germany,0.0,0.0,45756.0,2020,12,31,3
2021-01-01,Germany,0.0,0.0,41743.0,2021,1,1,4
2021-01-01,United States,3763.0,235818.0,417081.0,2021,1,1,4
2021-01-02,United States,3754.0,229492.0,434597.0,2021,1,2,5
2021-01-02,Germany,0.0,0.0,42800.0,2021,1,2,5
2021-01-03,Germany,5744.0,122953.0,39912.0,2021,1,3,6
2021-01-03,United States,3049.0,228546.0,440634.0,2021,1,3,6
2021-01-04,United States,2384.0,225318.0,450116.0,2021,1,4,0
2021-01-04,Germany,0.0,0.0,43929.0,2021,1,4,0
2021-01-05,Germany,0.0,0.0,44220.0,2021,1,5,1
2021-01-05,United States,2044.0,205458.0,465786.0,2021,1,5,1
2021-01-06,United States,2029.0,174314.0,491241.0,2021,1,6,2
2021-01-06,Germany,0.0,0.0,44074.0,2021,1,6,2
2021-01-07,Germany,0.0,0.0,44787.0,2021,1,7,3
2021-01-07,United States,3496.0,242441.0,598334.0,2021,1,7,3
2021-01-08,United States,3855.0,257750.0,760215.0,2021,1,8,4
2021-01-08,Germany,0.0,0.0,50099.0,2021,1,8,4
2021-01-09,Germany,0.0,0.0,51911.0,2021,1,9,5
2021-01-09,United States,3978.0,269765.0,795150.0,2021,1,9,5
2021-01-10,United States,3711.0,292105.0,811188.0,2021,1,10,6
2021-01-10,Germany,5759.0,145505.0,53829.0,2021,1,10,6
2021-01-11,Germany,0.0,0.0,57035.0,2021,1,11,0
2021-01-11,United States,3411.0,256294.0,870259.0,2021,1,11,0
2021-01-12,United States,2555.0,224484.0,931262.0,2021,1,12,1
